,hhid,index.x,date,ccy,location,sublocation,village,survey_type,nrt,index.y,wilidlife_cost_benefits,importance,problems,wildlife_problem1,wildlife_problem2,wildlife_problem3,wildlife_problem4,wildlife_problem5,other_wildlife,problem_trend,positive_conservation1,positive_conservation2,positive_conservation3,other_positive,negative_conservation1,negative_conservation2,negative_conservation3,other_negative,population
104,lekurruki001,1,30/11/15,lekurruki,mukogodo,kurikuri,kurikuri,baseline,NRT,1,2,3,2,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
105,lekurruki001,1,30/11/15,lekurruki,mukogodo,kurikuri,kurikuri,baseline,NRT,192,2,3,2,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
106,lekurruki001,192,28/11/15,lekurruki,mukogodo,kurikuri,kantana,baseline,NRT,1,2,3,2,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
107,lekurruki001,192,28/11/15,lekurruki,mukogodo,kurikuri,kantana,baseline,NRT,192,2,3,2,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
108,lekurruki002,2,30/11/15,lekurruki,mukogodo,kurikuri,kurikuri,baseline,NRT,2,2,3,2,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
109,lekurruki002,2,30/11/15,lekurruki,mukogodo,kurikuri,kurikuri,baseline,NRT,193,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
110,lekurruki002,193,28/11/15,lekurruki,mukogodo,kurikuri,martii,baseline,NRT,2,2,3,2,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
111,lekurruki002,193,28/11/15,lekurruki,mukogodo,kurikuri,martii,baseline,NRT,193,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
112,lekurruki003,194,28/11/15,lekurruki,mukogodo,kurikuri,anadungoro,baseline,NRT,194,1,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
113,lekurruki003,194,28/11/15,lekurruki,mukogodo,kurikuri,anadungoro,baseline,NRT,3,2,3,2,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
114,lekurruki003,3,30/11/15,lekurruki,mukogodo,kurikuri,kurikuri,baseline,NRT,194,1,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
115,lekurruki003,3,30/11/15,lekurruki,mukogodo,kurikuri,kurikuri,baseline,NRT,3,2,3,2,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
116,lekurruki004,195,28/11/15,lekurruki,mukogodo,kurikuri,doldol,baseline,NRT,195,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
117,lekurruki004,195,28/11/15,lekurruki,mukogodo,kurikuri,doldol,baseline,NRT,4,2,3,2,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
118,lekurruki004,4,30/11/15,lekurruki,mukogodo,kurikuri,kurikuri,baseline,NRT,195,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
119,lekurruki004,4,30/11/15,lekurruki,mukogodo,kurikuri,kurikuri,baseline,NRT,4,2,3,2,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
120,lekurruki005,196,28/11/15,lekurruki,mukogodo,kurikuri,martii,baseline,NRT,196,98,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
121,lekurruki005,196,28/11/15,lekurruki,mukogodo,kurikuri,martii,baseline,NRT,5,2,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
122,lekurruki005,5,30/11/15,lekurruki,mukogodo,kurikuri,kurikuri,baseline,NRT,196,98,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
123,lekurruki005,5,30/11/15,lekurruki,mukogodo,kurikuri,kurikuri,baseline,NRT,5,2,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
124,lekurruki006,197,28/11/15,lekurruki,mukogodo,kurikuri,tool,baseline,NRT,197,2,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
125,lekurruki006,197,28/11/15,lekurruki,mukogodo,kurikuri,tool,baseline,NRT,6,2,3,2,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
126,lekurruki006,6,30/11/15,lekurruki,mukogodo,kurikuri,kurikuri,baseline,NRT,197,2,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
127,lekurruki006,6,30/11/15,lekurruki,mukogodo,kurikuri,kurikuri,baseline,NRT,6,2,3,2,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
128,lekurruki007,7,30/11/15,lekurruki,mukogodo,kurikuri,kurikuri,baseline,NRT,7,2,3,2,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
129,lekurruki007,7,30/11/15,lekurruki,mukogodo,kurikuri,kurikuri,baseline,NRT,198,2,3,2,1,2,3,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
